,USER,2022-06_ALLOCATIONS,2022-06_CURTAILMENT,2022-06_DEMAND,2022-06_SHORTAGE_%,BASIN,PRIORITY
233,S021996,0.0002022,0,0.0002022,0.0,R_08,10000000
237,S022000,0.0002022,0,0.0002022,0.0,R_08,10000000
239,S022002,0.0002022,0,0.0002022,0.0,R_08,10000000
240,S022003,0.0002022,0,0.0002022,0.0,R_08,10000000
241,S022004,0.0002022,0,0.0002022,0.0,R_08,10000000
291,S024372,0.0002022,0,0.0002022,0.0,R_08,10000000
299,S024526,0.0002022,0,0.0002022,0.0,R_08,10000000
4,S006298,0.0002022,0,0.0002022,0.0,R_09,10000000
5,S006491,0.165,0,0.165,0.0,R_09,10000000
8,S008118,0.0002022,0,0.0002022,0.0,R_09,10000000
9,S008121,0.0002022,0,0.0002022,0.0,R_09,10000000
10,S008122,0.0002022,0,0.0002022,0.0,R_09,10000000
45,S013246,1.01,0,1.01,0.0,R_09,10000000
103,S015903,0.0002022,0,0.0002022,0.0,R_09,10000000
105,S015950,0.0002022,0,0.0002022,0.0,R_09,10000000
109,S016044,0.0002022,0,0.0002022,0.0,R_09,10000000
180,S019235,0.0002022,0,0.0002022,0.0,R_09,10000000
187,S019893,0.0002022,0,0.0002022,0.0,R_09,10000000
197,S020175,0.6,0,0.6,0.0,R_09,10000000
198,S020240,0.0002022,0,0.0002022,0.0,R_09,10000000
247,S022316,0.0002022,0,0.0002022,0.0,R_09,10000000
248,S022326,0.0002022,0,0.0002022,0.0,R_09,10000000
249,S022339,0.0002022,0,0.0002022,0.0,R_09,10000000
276,S023728,0.0002022,0,0.0002022,0.0,R_09,10000000
277,S023729,0.0002022,0,0.0002022,0.0,R_09,10000000
278,S023862,0.995,0,0.995,0.0,R_09,10000000
11,S013696,1.9488981,1,4.1,52.4659,R_09_MSRR,10000000
12,S014005,9.61139502e-05,1,0.0002022,52.4659,R_09_MSRR,10000000
19,S014071,0.24480061500000005,1,0.515,52.46589999999999,R_09_MSRR,10000000
20,S014072,9.61139502e-05,1,0.0002022,52.4659,R_09_MSRR,10000000
21,S014073,0.268567665,1,0.565,52.4659,R_09_MSRR,10000000
22,S014074,0.12596536500000002,1,0.265,52.4659,R_09_MSRR,10000000
23,S014077,9.61139502e-05,1,0.0002022,52.4659,R_09_MSRR,10000000
24,S014078,9.61139502e-05,1,0.0002022,52.4659,R_09_MSRR,10000000
25,S014079,0.720141615,1,1.515,52.4659,R_09_MSRR,10000000
32,S014200,9.61139502e-05,1,0.0002022,52.4659,R_09_MSRR,10000000
91,S015816,0.26143755,1,0.55,52.4659,R_09_MSRR,10000000
92,S015874,9.61139502e-05,1,0.0002022,52.4659,R_09_MSRR,10000000
93,S015884,0.026143755,1,0.055,52.4659,R_09_MSRR,10000000
103,S015990,0.477717705,1,1.005,52.46590000000001,R_09_MSRR,10000000
108,S016045,0.073677855,1,0.155,52.4659,R_09_MSRR,10000000
132,S017987,9.61139502e-05,1,0.0002022,52.4659,R_09_MSRR,10000000
133,S017990,0.08080797,1,0.17,52.4659,R_09_MSRR,10000000
135,S017993,0.040403985,1,0.085,52.4659,R_09_MSRR,10000000
136,S017995,1.00296951,1,2.11,52.4659,R_09_MSRR,10000000
145,S018710,0.23767049999999998,1,0.5,52.4659,R_09_MSRR,10000000
170,S021480,0.7961961750000001,1,1.675,52.4659,R_09_MSRR,10000000
174,S022013,0.15686253,1,0.33,52.4659,R_09_MSRR,10000000
175,S022014,9.61139502e-05,1,0.0002022,52.4659,R_09_MSRR,10000000
178,S022464,0.24717732,1,0.52,52.4659,R_09_MSRR,10000000
179,S022523,0.00950682,1,0.02,52.4659,R_09_MSRR,10000000
182,S022868,0.15686253,1,0.33,52.4659,R_09_MSRR,10000000
183,S022869,9.61139502e-05,1,0.0002022,52.4659,R_09_MSRR,10000000
184,S022870,9.61139502e-05,1,0.0002022,52.4659,R_09_MSRR,10000000
189,S023695,0.22816368,1,0.48,52.4659,R_09_MSRR,10000000
190,S023696,0.339868815,1,0.715,52.4659,R_09_MSRR,10000000
191,S023697,0.458704065,1,0.965,52.46590000000001,R_09_MSRR,10000000
200,S024509,0.2852046,1,0.6,52.4659,R_09_MSRR,10000000
202,S024681,0.29946483,1,0.63,52.4659,R_09_MSRR,10000000
203,S024682,0.03802728,1,0.08,52.4659,R_09_MSRR,10000000
205,S025481,9.61139502e-05,1,0.0002022,52.4659,R_09_MSRR,10000000
