USER,BASIN,PRIORITY,WATER_RIGHT_TYPE,RIPARIAN,NULL_DEMAND,MAY_SEPT_ZERO_DEMAND,2021-05,2021-06,2021-07,2021-08,2021-09
A027362,L_18_MSRR,355,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A027424,L_27,356,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A027478,L_17_MSRR,357,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A027757,L_17,360,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A027953,L_15,362,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A028370,L_27,361,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A028402,L_16,365,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A028828,L_21,366,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A028860,L_21,367,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029044,L_24,369,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029070,L_23,370,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029277,L_23,373,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029332,L_26,374,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029397,L_17_MSRR,376,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029502,L_18,379,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029515,L_27,381,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029538,L_16,383,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029562,L_14,380,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029610,L_18,384,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029628,L_14,385,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029671,L_17,386,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029772,L_23,388,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029802,L_24_LSR,389,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029848,L_23,390,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029849,L_23,391,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029850,L_23,392,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029858,L_24,393,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029986,L_16,398,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A030124,L_27,401,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A030125,L_27,402,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A030173,L_16,403,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A030391,L_17_MSRR,408,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A030797,L_14,416,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A030882,L_18,413,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A030933,L_16,421,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
