USER,BASIN,PRIORITY,WATER_RIGHT_TYPE,RIPARIAN,NULL_DEMAND,MAY_SEPT_ZERO_DEMAND,2021-05,2021-06,2021-07,2021-08,2021-09,2021-11
S019760,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.00099,0.00099,0.00099,0.866666667,0.00099,0.133333333
S025488,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.00099,0.00099,0.003333333,0.00099,0.003333333,0.00099
S025486,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.033333333,0.00099,0.00099,0.00099,0.066666667,0.00099
S015462,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.00099,0.00099,0.14,0.136666667,0.1,0.00099
S022528,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.033333333,0.266666667,0.7,0.466666667,0.366666667,0.780540667
S015473,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,1.233333333,0.366666667,0.866666667,0.7,0.4,0.00099
S025344,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.06,0.12,0.86,0.286666667,0.503333333,0.103333333
S017034,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.211292667,0.819286667,1.886213667,1.547328,0.886648667,0.242538333
S017038,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.030789667,0.885295333,1.509827667,1.634118667,0.908851,2.72
S016732,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.394178,0.849549667,1.029734333,0.840834,0.937304667,0.00099
S014085,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.666666667,1.4,2.333333333,1.8,0.966666667,0.076666667
S022016,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.633333333,1,1.366666667,1.233333333,1,0.00099
S025487,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.666666667,0.00099,0.00099,0.00099,1.366666667,2.179666667
S014929,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.00099,2.066666667,2.166666667,2.733333333,1.4,0.333333333
